"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"32515","0",95.9,31.9,221,2157,3,5.57
"32516","0",80.3,19.6,307,2653,7,5.52
"32517","0",90.4,24,251,1845,1,4.7
"32518","0",95.6,40.3,213,2266,3,6.06
"32519","0",94.9,32.5,127,2120,6,5.45
"32520","0",101.2,19.3,233,2318,3,4.8
"32521","0",94,47,209,2507,3,6.1
"32522","0",85.3,45.7,97,2114,7,5.38
"32523","0",83.3,46.4,111,1980,1,6.41
"32524","0",97.4,17.9,241,2154,3,5.18
"32525","0",100.5,35,229,2109,6,5.74
"32526","0",83.2,29.1,72,2866,7,5.7
"32527","0",94.1,23.2,225,2213,6,5.39
"32528","0",100.3,44.8,138,2596,3,6.06
"32529","0",83.4,28,38,2207,2,5.46
"32530","0",94.3,51,146,2321,3,5.88
"32531","0",82.3,-7.1,85,1777,1,4.03
"32532","0",92.9,54.5,190,2315,3,6.4
"32533","0",92.5,56.3,145,2032,3,6.16
"32534","0",81.5,46,75,2623,8,5.94
"32535","0",84.8,47.9,64,2566,7,6.14
"32536","0",93.2,24,120,1949,3,5.27
"32537","0",82.5,39.9,70,2993,8,5.69
"32538","0",87.1,53.2,76,2288,7,6.15
"32539","0",93.6,36.4,227,1957,6,5.51
"32540","0",74.1,34.3,43,3154,2,5.39
"32541","0",87.8,40.4,245,1747,1,5.84
"32542","0",94.2,15.7,229,2502,3,5.13
"32543","0",83.1,22.5,289,2258,8,5.26
"32544","0",96.5,52.2,197,2264,3,6.04
"32545","0",84.4,55.7,215,2580,7,6.27
"32546","0",84.1,21.9,49,2743,7,5.13
"32547","0",86.4,29.4,102,2756,7,5.35
"32548","0",100.3,35.7,145,2493,3,5.13
"32549","0",89.8,14.4,124,2167,3,4.78
"32550","0",94.1,53,212,2271,3,6.13
"32551","0",90.4,42.8,239,1606,1,5.71
"32552","0",92.5,50.8,213,2130,3,6.73
"32553","0",95.3,43.8,209,2502,3,5.8
"32554","0",81.1,34.8,51,2526,2,5.85
"32555","0",92.5,29,124,2291,3,4.95
"32556","0",97.6,43.9,212,2430,3,5.47
"32557","0",94.8,63.6,197,2219,3,6.41
"32558","0",98.3,44.4,208,2420,3,5.57
"32559","0",84.9,36.1,79,2401,7,5.37
"32560","0",82,45.3,56,2475,8,5.59
"32561","0",93.7,44,210,2374,3,5.9
"32562","0",99.2,55.5,196,2585,3,6.64
"32563","0",83.9,48.4,116,2388,7,5.81
"32564","0",81.8,60,359,2226,2,6.41
"32565","0",78.9,24.9,308,2486,7,4.96
"32566","0",84,23,69,2674,8,5.23
"32567","0",83.2,47.8,118,1687,1,5.87
"32568","0",80.8,-0.5,304,1889,8,4.25
"32569","0",84.6,38.7,234,1368,1,5.79
"32570","0",94.1,46.4,140,2265,3,6.39
"32571","0",94.9,36.9,239,1880,6,5.72
"32572","0",83.7,21.6,115,1726,1,5.21
"32573","0",88.7,33.7,246,1660,1,4.83
"32574","0",87.2,42,244,1702,1,5.9
"32575","0",80.9,54.1,331,2124,7,6.31
"32576","0",92.8,31.7,222,2492,3,5.64
"32577","0",99.8,48.3,194,2554,3,6.28
"32578","0",93.6,20.5,126,2094,3,5.23
"32579","0",81,47.4,262,2478,1,6.22
"32580","0",95.9,36.6,212,2360,6,5.68
"32581","0",79.9,20.9,309,2653,7,5.6
